county_name,ct_min1,R₀,ϵ,χ₁,χ₂,p_test₁,p_test₂,p_choose1,P_eff,schooleffect,extra_transmissibility,influx_exposed_new_variant,p_test_boost,χ_boost,E₀,fatality_detection_lower_SES,fatality_detection_upper_SES,population_exposure
Baringo,"0.829 (0.776,0.893)","2.839 (2.451,3.236)","0.805 (0.728,0.878)","1.77 (1.396,2.188)","1.706 (0.857,2.866)","0.0 (0.0,0.0)","0.0 (0.0,0.0)","0.893 (0.839,0.938)","0.992 (0.986,0.996)","0.626 (0.571,0.69)","1.144 (1.03,1.275)","98.683 (32.733,198.455)","1.091 (1.004,1.262)","1.164 (1.008,1.394)","0.095 (0.023,0.226)",0.00168,0.035,"78.2 (72.8,82.6)"
Bomet,"0.839 (0.788,0.893)","2.0 (1.758,2.304)","0.761 (0.705,0.832)","2.27 (1.577,3.099)","3.402 (1.653,6.471)","0.0 (0.0,0.0)","0.001 (0.001,0.001)","0.796 (0.725,0.852)","0.994 (0.991,0.996)","0.938 (0.853,0.995)","1.829 (1.631,2.028)","89.88 (30.213,183.534)","1.066 (1.003,1.195)","1.108 (1.008,1.274)","0.363 (0.063,0.976)",0.00243,0.159,"81.4 (76.9,85.5)"
Bungoma,"0.849 (0.812,0.889)","1.934 (1.785,2.072)","0.731 (0.701,0.781)","2.335 (1.861,2.911)","1.376 (0.657,2.707)","0.0 (0.0,0.0)","0.001 (0.001,0.002)","0.819 (0.739,0.883)","0.998 (0.997,0.999)","0.981 (0.942,0.998)","1.727 (1.608,1.841)","92.561 (29.365,195.83)","1.026 (1.001,1.09)","1.191 (1.026,1.403)","0.547 (0.17,1.301)",2.19e-41,0.0382,"74.3 (69.7,78.3)"
Busia,"0.721 (0.706,0.735)","2.936 (2.754,3.133)","0.711 (0.7,0.743)","2.394 (1.688,3.142)","2.24 (0.677,4.324)","0.0 (0.0,0.0)","0.0 (0.0,0.0)","0.798 (0.715,0.871)","0.962 (0.945,0.975)","0.926 (0.87,0.981)","1.29 (1.198,1.386)","100.281 (33.403,205.182)","1.053 (1.001,1.173)","1.056 (1.001,1.169)","3.74 (1.907,6.175)",0.00225,1.02e-13,"77.2 (73.9,80.5)"
Elgeyo-Marakwet,"0.784 (0.698,0.875)","2.367 (1.839,2.987)","0.917 (0.832,0.969)","1.701 (0.899,2.559)","2.507 (0.516,5.725)","0.0 (0.0,0.0)","0.0 (0.0,0.0)","0.802 (0.72,0.877)","0.938 (0.887,0.98)","0.682 (0.582,0.805)","1.413 (1.214,1.643)","97.196 (32.566,195.36)","1.053 (1.001,1.169)","1.109 (1.004,1.289)","1.304 (0.41,2.732)",1.06e-14,0.0142,"84.5 (77.0,90.0)"
Embu,"0.816 (0.783,0.854)","2.045 (1.842,2.272)","0.718 (0.701,0.76)","3.875 (3.064,4.803)","1.567 (0.846,2.477)","0.0 (0.0,0.0)","0.0 (0.0,0.0)","0.798 (0.726,0.862)","0.987 (0.98,0.993)","0.929 (0.856,0.991)","1.487 (1.362,1.607)","94.551 (30.985,188.292)","1.043 (1.001,1.146)","1.141 (1.013,1.334)","2.504 (1.241,4.219)",0.00416,4.72e-13,"69.8 (65.0,74.2)"
Garissa,"0.848 (0.817,0.88)","2.697 (2.405,2.964)","0.995 (0.99,0.998)","1.943 (1.525,2.385)","3.755 (2.567,5.344)","0.0 (0.0,0.0)","0.0 (0.0,0.0)","0.779 (0.715,0.838)","0.838 (0.77,0.893)","0.607 (0.561,0.667)","1.059 (0.944,1.212)","89.475 (32.542,178.26)","1.051 (1.002,1.166)","1.076 (1.002,1.218)","0.261 (0.121,0.463)",0.00559,0.00667,"81.3 (78.2,84.2)"
Homa Bay,"0.871 (0.819,0.924)","1.821 (1.625,2.045)","0.763 (0.706,0.831)","2.164 (1.515,2.904)","1.42 (0.611,2.934)","0.0 (0.0,0.0)","0.001 (0.0,0.001)","0.818 (0.739,0.883)","0.996 (0.994,0.998)","0.964 (0.899,0.998)","1.463 (1.346,1.576)","95.72 (29.338,199.166)","1.053 (1.002,1.171)","1.108 (1.004,1.284)","0.798 (0.178,2.004)",0.00321,5.8e-18,"62.1 (56.0,68.1)"
Isiolo,"0.847 (0.812,0.886)","1.821 (1.67,1.955)","0.733 (0.702,0.79)","3.983 (2.759,5.503)","3.289 (1.535,5.999)","0.0 (0.0,0.0)","0.001 (0.001,0.002)","0.8 (0.731,0.86)","0.993 (0.989,0.995)","0.982 (0.939,0.998)","1.45 (1.341,1.557)","83.022 (27.113,169.704)","1.036 (1.001,1.127)","1.124 (1.006,1.32)","1.103 (0.378,2.369)",0.00385,0.153,"61.4 (55.0,67.3)"
Kajiado,"0.868 (0.825,0.914)","2.281 (2.081,2.515)","0.704 (0.7,0.716)","0.899 (0.242,2.001)","8.987 (6.207,12.745)","0.0 (0.0,0.0)","0.0 (0.0,0.0)","0.672 (0.603,0.73)","0.986 (0.98,0.99)","0.853 (0.81,0.899)","1.179 (1.091,1.272)","102.886 (31.685,210.611)","1.024 (1.001,1.084)","1.212 (1.034,1.428)","3.909 (2.281,5.918)",1.32e-13,0.213,"61.0 (53.4,68.2)"
Kakamega,"0.792 (0.751,0.835)","2.091 (1.872,2.379)","0.769 (0.709,0.837)","2.021 (1.597,2.502)","1.09 (0.495,2.334)","0.0 (0.0,0.0)","0.001 (0.0,0.001)","0.822 (0.747,0.888)","0.998 (0.997,0.999)","0.934 (0.85,0.991)","1.997 (1.796,2.198)","90.891 (28.95,184.011)","1.035 (1.001,1.109)","1.14 (1.011,1.323)","0.534 (0.092,1.464)",0.00251,0.0609,"85.3 (82.2,88.0)"
Kericho,"0.827 (0.785,0.87)","2.228 (1.97,2.485)","0.742 (0.703,0.809)","3.565 (2.772,4.476)","2.713 (1.243,5.139)","0.0 (0.0,0.0)","0.002 (0.001,0.002)","0.816 (0.75,0.87)","0.993 (0.99,0.995)","0.865 (0.798,0.942)","1.632 (1.486,1.8)","95.68 (31.734,194.132)","1.065 (1.002,1.207)","1.059 (1.002,1.185)","0.216 (0.047,0.601)",0.0121,4.97e-15,"79.9 (76.2,83.2)"
Kiambu,"0.904 (0.888,0.921)","2.938 (2.672,3.257)","0.996 (0.993,0.998)","1.603 (1.239,2.063)","8.053 (5.819,10.807)","0.0 (0.0,0.0)","0.001 (0.0,0.001)","0.651 (0.594,0.703)","0.847 (0.782,0.901)","0.563 (0.509,0.616)","1.326 (1.162,1.506)","104.95 (34.062,209.925)","1.058 (1.002,1.168)","1.022 (1.001,1.074)","0.376 (0.158,0.735)",0.0106,0.0517,"92.6 (90.7,94.4)"
Kilifi,"0.874 (0.821,0.925)","2.669 (2.384,2.979)","0.742 (0.702,0.799)","2.206 (1.923,2.509)","1.268 (0.597,2.212)","0.0 (0.0,0.0)","0.0 (0.0,0.0)","0.912 (0.85,0.958)","0.619 (0.565,0.672)","0.589 (0.542,0.639)","1.045 (0.98,1.118)","86.496 (28.584,179.12)","1.031 (1.001,1.105)","1.034 (1.001,1.119)","1.542 (1.162,1.989)",0.00376,1.65e-22,"76.8 (73.4,79.8)"
Kirinyaga,"0.796 (0.754,0.84)","1.956 (1.758,2.177)","0.761 (0.703,0.83)","2.986 (2.217,3.912)","2.771 (1.389,4.941)","0.0 (0.0,0.0)","0.001 (0.001,0.002)","0.796 (0.725,0.857)","0.996 (0.993,0.997)","0.972 (0.913,0.998)","1.9 (1.742,2.054)","84.23 (28.132,173.878)","1.046 (1.001,1.155)","1.156 (1.014,1.362)","0.55 (0.097,1.578)",0.00167,0.134,"81.0 (77.2,84.5)"
Kisii,"0.854 (0.798,0.916)","1.97 (1.722,2.234)","0.742 (0.702,0.818)","2.955 (2.38,3.677)","1.254 (0.602,2.092)","0.0 (0.0,0.0)","0.0 (0.0,0.0)","0.811 (0.731,0.873)","0.987 (0.98,0.993)","0.942 (0.865,0.997)","1.51 (1.368,1.632)","106.51 (37.264,213.699)","1.044 (1.001,1.153)","1.133 (1.011,1.327)","1.214 (0.414,2.454)",0.00478,0.0365,"68.6 (63.6,73.3)"
Kisumu,"0.84 (0.804,0.882)","2.249 (2.007,2.5)","0.741 (0.702,0.806)","1.632 (1.285,2.029)","1.257 (0.719,2.032)","0.0 (0.0,0.0)","0.0 (0.0,0.0)","0.813 (0.741,0.873)","0.991 (0.987,0.995)","0.83 (0.767,0.894)","1.347 (1.238,1.459)","98.283 (32.291,195.948)","1.068 (1.004,1.205)","1.063 (1.004,1.178)","1.261 (0.484,2.559)",0.00269,0.0252,"70.9 (66.9,74.5)"
Kitui,"0.921 (0.878,0.966)","1.801 (1.702,1.913)","0.709 (0.7,0.733)","2.121 (1.672,2.649)","2.871 (1.72,4.386)","0.0 (0.0,0.0)","0.0 (0.0,0.0)","0.84 (0.784,0.887)","0.993 (0.991,0.996)","0.981 (0.941,0.998)","1.727 (1.602,1.847)","83.825 (29.182,167.748)","1.109 (1.004,1.275)","1.029 (1.001,1.109)","0.377 (0.207,0.603)",0.00461,0.0418,"74.2 (69.3,78.2)"
